symbol,fold,train_start,train_end,test_start,test_end,regime,trades,wins,win_rate_pct,profit_factor,max_drawdown_pct,drawdown_duration_trades,sortino,expectancy_pct,oos_return_pct,buy_hold_pct
BTCUSDT,1,0,399,400,549,bull,4,1,25.0,2.5461,2.75,3,7.15,1.0707,4.11,12.3
BTCUSDT,2,150,549,550,699,bull,4,3,75.0,15.0021,1.08,1,0.0,3.79,15.79,-0.85
BTCUSDT,3,300,699,700,849,bear,3,2,66.67,6.586,2.01,1,0.0,3.7382,11.35,-34.65
BTCUSDT,4,450,849,850,999,bear,4,2,50.0,3.4858,3.57,1,7.865,3.3752,13.28,-8.02
ETHUSDT,1,0,399,400,549,sideways,2,2,100.0,inf,0.0,0,0.0,9.9863,20.81,-24.33
ETHUSDT,2,150,549,550,699,bull,3,2,66.67,5.517,3.1,1,0.0,4.6722,13.56,51.61
ETHUSDT,3,300,699,700,849,bear,2,1,50.0,18.1366,0.65,1,0.0,5.5733,11.07,-43.8
ETHUSDT,4,450,849,850,999,bear,2,1,50.0,5.1804,0.68,1,0.0,1.4293,2.83,-8.94
BNBUSDT,1,0,399,400,549,bull,4,2,50.0,0.6209,8.24,3,-0.448,-0.7857,-3.5,-3.3
BNBUSDT,2,150,549,550,699,bull,2,1,50.0,3.4378,1.12,1,0.0,1.3601,2.68,57.72
BNBUSDT,3,300,699,700,849,bear,3,2,66.67,1.9061,4.19,2,0.0,1.2662,3.47,-40.29
BNBUSDT,4,450,849,850,999,bear,5,3,60.0,0.9475,5.46,2,-0.058,-0.0632,-0.58,-4.03
